id,premis,hipotesis,label
16,"Namun Herrera nampaknya tidak tertarik dengan tawaran Barcelona itu karena ia ingin memenangkan lebih banyak gelar bersama Setan Merah . "" Saya sangat berterima kasih kepada Manchester United karena mereka mendatangkan saya dari Spanyol tiga tahun yang lalu , "" ungkap Herrera kepada Sky Sports News .",Herrera berasal dari Spanyol .,neutral
17,"Namun Herrera nampaknya tidak tertarik dengan tawaran Barcelona itu karena ia ingin memenangkan lebih banyak gelar bersama Setan Merah . "" Saya sangat berterima kasih kepada Manchester United karena mereka mendatangkan saya dari Spanyol tiga tahun yang lalu , "" ungkap Herrera kepada Sky Sports News .",Herrera tertarik dengan tawaran Barcelona .,contradiction
18,"Tahun lalu , Song Joong Ki merupakan peraih penghargaan yang sama dengan Park Bo Gum .",Park Bo Gum pernah memenangkan penghargaan yang sama seperti Song Joong Ki.,Entailment
19,"Tahun lalu , Song Joong Ki merupakan peraih penghargaan yang sama dengan Park Bo Gum .",Song Joong Ki memiliki rivalitas dengan Park Bo Gum.,Neutral
20,"Tahun lalu , Song Joong Ki merupakan peraih penghargaan yang sama dengan Park Bo Gum .",Song Joong Ki tidak meraih penghargaan tahun lalu.,Contradiction
21,"Selain persawahan, di Jatiluwih ini kamu juga bisa menemui pura, rumah warga, dan pemandangan sungai .",Kamu dapat menemui perumahan di Jatiluwih .,entailment
22,"Selain persawahan, di Jatiluwih ini kamu juga bisa menemui pura, rumah warga, dan pemandangan sungai .",Pemandangan di Jatiluwih sangat indah .,neutral
23,"Selain persawahan, di Jatiluwih ini kamu juga bisa menemui pura, rumah warga, dan pemandangan sungai .",Di Jatiluwih tidak dapat ditemukan sungai .,contradiction
24,"Ambruknya dan intervensi puluhan bank mengakibatkan pelarian modal , membuat banyak usaha menjadi bangkrut .",Intervensi puluhan bank ambruk .,entailment
25,"Ambruknya dan intervensi puluhan bank mengakibatkan pelarian modal , membuat banyak usaha menjadi bangkrut .",Terdapat beberapa usaha yang tidak bangkrut walaupun intervensi puluhan bank ambruk .,neutral
26,"Ambruknya dan intervensi puluhan bank mengakibatkan pelarian modal , membuat banyak usaha menjadi bangkrut .",Tidak pelarian modal terjadi akibat ambruknya intervensi puluhan bank .,contradiction
27,"Pada tanggal 10 Maret 1896 , Herzl dikunjungi oleh Pendeta William Hechler , pelayan Anglican untuk Kedutaan Inggris .",Herzl dikunjungi pelayan Anglican pada tanggal 10 Maret 1896.,entailment
28,"Pada tanggal 10 Maret 1896 , Herzl dikunjungi oleh Pendeta William Hechler , pelayan Anglican untuk Kedutaan Inggris .",Herzl pernah dikunjungi selain tanggal 10 Maret 1896.,neutral
29,"Pada tanggal 10 Maret 1896 , Herzl dikunjungi oleh Pendeta William Hechler , pelayan Anglican untuk Kedutaan Inggris .",Pendeta William Hechler bukan pelayan Anglican.,contradiction
30,"Gunung Batu Jonggol adalah destinasi wisata gunung yang terletak di Kecamatan Sukamakmur, Bogor, Jawa Barat. ",Gunung Batu Jonggol merupakan wisata gunung,entailment
31,"Gunung Batu Jonggol adalah destinasi wisata gunung yang terletak di Kecamatan Sukamakmur, Bogor, Jawa Barat. ",Gunung Batu Jonggol adalah satu-satunya wisata di Sukamakmur,neutral
32,"Gunung Batu Jonggol adalah destinasi wisata gunung yang terletak di Kecamatan Sukamakmur, Bogor, Jawa Barat. ",Kecamatan Sukamakmur tidak berada di Bogor,contradiction
33,"Totok mengatakan , perseroannya berkomitmen untuk terus memberi pelayanan yang terbaik agar pelanggan merasa puas dan setia menggunakan kelas priority .",Perseroan toktok berkomitmen untuk memuaskan pelanggan .,entailment
34,"Totok mengatakan , perseroannya berkomitmen untuk terus memberi pelayanan yang terbaik agar pelanggan merasa puas dan setia menggunakan kelas priority .",Perseroan toktok penah tidak memuaskan pelanggan .,neutral
35,"Totok mengatakan , perseroannya berkomitmen untuk terus memberi pelayanan yang terbaik agar pelanggan merasa puas dan setia menggunakan kelas priority .",Perseroan toktok tidak berkomitmen untuk memuaskan pelanggan .,contradiction
36,Video musik resmi dari lagu ditampilkan pada 5 September 2012 dengan perilisan DVD serial volume pertama .,Video musik resmi dari lagu ditampilkan pada 5 September 2012.,entailment
37,Video musik resmi dari lagu ditampilkan pada 5 September 2012 dengan perilisan DVD serial volume pertama .,Terdapat perilisan DVD serial volume kedua.,neutral
38,Video musik resmi dari lagu ditampilkan pada 5 September 2012 dengan perilisan DVD serial volume pertama .,Perilisan DVD serial volume pertama dilakukan tanggal 11 September 2012.,contradiction
39,"Owi / Butet yang merupakan unggulan ketiga dunia terus menambah poin dan mengubah skor menjadi 15 - 13 . Sejurus kemudian , Tan / Lai yang tertekan melakukan kesalahan dan membuat skor berubah 17 - 13 .",Owi/Butet merupakan unggulan ketiga dunia.,entailment
40,"Owi / Butet yang merupakan unggulan ketiga dunia terus menambah poin dan mengubah skor menjadi 15 - 13 . Sejurus kemudian , Tan / Lai yang tertekan melakukan kesalahan dan membuat skor berubah 17 - 13 .",Unggulan keempat dunia diduduki oleh Tan/Lai.,neutral
41,"Owi / Butet yang merupakan unggulan ketiga dunia terus menambah poin dan mengubah skor menjadi 15 - 13 . Sejurus kemudian , Tan / Lai yang tertekan melakukan kesalahan dan membuat skor berubah 17 - 13 .",Skor Tan/Lai adalah 17 karena berhasil menekan Owi/Butet.,contradiction
42,"Tanggal kelahiran Gaudapa tidak pasti , bahkan terdapat keraguan apakah Gaudapa pernah hidup atau tidak .",Banyak keraguan mengenai tanggal kelahiran Gaudapa,entailment
43,"Tanggal kelahiran Gaudapa tidak pasti , bahkan terdapat keraguan apakah Gaudapa pernah hidup atau tidak .",Keraguan yang dimiliki Gaudapa membuatnya tidak yakin untuk meneruskan hidup,neutral
44,"Tanggal kelahiran Gaudapa tidak pasti , bahkan terdapat keraguan apakah Gaudapa pernah hidup atau tidak .",Semua orang yakin bahwa Gaudapa pernah hidup pada suatu masa,contradiction
45,"Bab pertama "" Ikaryaku "" sendiri mulai diserialkan pada tanggal 30 Oktober 2006 , tepatnya pada edisi Desember Gemaga .",""" Ikaryaku "" diserialkan dari bab pertamanya .",entailment
46,"Bab pertama "" Ikaryaku "" sendiri mulai diserialkan pada tanggal 30 Oktober 2006 , tepatnya pada edisi Desember Gemaga .","Bab kedua "" Ikaryaku "" tidak diserialkan .",neutral
47,"Bab pertama "" Ikaryaku "" sendiri mulai diserialkan pada tanggal 30 Oktober 2006 , tepatnya pada edisi Desember Gemaga .",""" Ikaryaku "" tidak pernah diserialkan .",contradiction
48,"Unit - unit itu antara lain ada yang disebut divisi , direktorat , bagian , atau cabang .",Terdapat 4 penamaan untuk unit-unit itu .,entailment
49,"Unit - unit itu antara lain ada yang disebut divisi , direktorat , bagian , atau cabang .",Divisi dan direktorak menyatakan unit yang sama .,neutral
50,"Unit - unit itu antara lain ada yang disebut divisi , direktorat , bagian , atau cabang .",Unit-unit itu ada yang disebut departemen .,contradiction
51,'Memetika pada umumnya mengadopsi konsep dari teori evolusi ( khususnya populasi genetik ) dan mengaplikasikanya pada kebudayaan manusia .',Memetika mengadopsi konsep populasi genetik,entailment
52,'Memetika pada umumnya mengadopsi konsep dari teori evolusi ( khususnya populasi genetik ) dan mengaplikasikanya pada kebudayaan manusia .',Memetika digunakan untuk menjelaskan topik yang sangat kontroversial,netral
53,'Memetika pada umumnya mengadopsi konsep dari teori evolusi ( khususnya populasi genetik ) dan mengaplikasikanya pada kebudayaan manusia .',Memetika mengaplikasikan teori evolusi pada kebudayaan manusia,contradiction
54,"Kemenangan 2 - 1 Persib Bandung atas PSM Makassar di Stadion Gelora Bandung Lautan Api ( GBLA ) , Rabu ( 5 / 7 ) kemarin sangat disyukuri oleh Atep .",Persib Bandung menang di Stadion GBLA.,entailment
55,"Kemenangan 2 - 1 Persib Bandung atas PSM Makassar di Stadion Gelora Bandung Lautan Api ( GBLA ) , Rabu ( 5 / 7 ) kemarin sangat disyukuri oleh Atep .",Kemenangan tersebut terjadi pada tahun 2019.,neutral
56,"Kemenangan 2 - 1 Persib Bandung atas PSM Makassar di Stadion Gelora Bandung Lautan Api ( GBLA ) , Rabu ( 5 / 7 ) kemarin sangat disyukuri oleh Atep .",Atep tidak mensyukuri kemenangan Persib Bandung.,contradiction
57,"Tinggal bagaimana Real Madrid menjaga keutuhan tim , termasuk merayu pemain yang tidak betah untuk menetap di Santiago Bernabeu . James Rodriguez dan Alvaro Morata masuk kategori tersebut karena minimnya jatah tampil .",Alvaro Morata merupakan pemain Real Madrid .,entailment
58,"Tinggal bagaimana Real Madrid menjaga keutuhan tim , termasuk merayu pemain yang tidak betah untuk menetap di Santiago Bernabeu . James Rodriguez dan Alvaro Morata masuk kategori tersebut karena minimnya jatah tampil .",Keutuhan tim Real Madrid tidak terjaga .,neutral
59,"Tinggal bagaimana Real Madrid menjaga keutuhan tim , termasuk merayu pemain yang tidak betah untuk menetap di Santiago Bernabeu . James Rodriguez dan Alvaro Morata masuk kategori tersebut karena minimnya jatah tampil .",James Rodriguez betah untuk menetap di Santiago Bernabeu .,contradiction
60,"Pijeran adalah sebuah desa di wilayah Kecamatan Siman , Kabupaten Ponorogo , Jawa Timur .",Pijeran merupakan sebuah desa,entailment
61,"Pijeran adalah sebuah desa di wilayah Kecamatan Siman , Kabupaten Ponorogo , Jawa Timur .",Desa Pijeran aman dan asri,neutral
62,"Pijeran adalah sebuah desa di wilayah Kecamatan Siman , Kabupaten Ponorogo , Jawa Timur .",Kabupaten Ponorogo tidak memiliki desa,contradiction
63,"Walaupun berdarah keturunan India , tapi semangat kecintaannya terhadap Negara Kesatuan Republik Indonesia ( NKRI ) sangatlah tinggi .",Ia memiliki semangat kecintaan terhadap NKRI yang tinggi .,entailment
64,"Walaupun berdarah keturunan India , tapi semangat kecintaannya terhadap Negara Kesatuan Republik Indonesia ( NKRI ) sangatlah tinggi .",Ia merupakan warga negara sah Indonesia .,neutral
65,"Walaupun berdarah keturunan India , tapi semangat kecintaannya terhadap Negara Kesatuan Republik Indonesia ( NKRI ) sangatlah tinggi .",Ia berdarah keturunan Indonesia .,contradiction
66,"Sentra industri kecil tersebar di seluruh kabupaten / kota , dan beberapa diantara nya telah menembus ekspor ; Industri kerajinan kulit berupa tas dan sepatu di Tanggulangin , Sidoarjo adalah salah satu industri kecil yang sangat terkenal .","Salah satu industri yang sangat terkenal di Tanggulangin , Sidoarjo adalah Industri kerajinan kulit berupa tas dan sepatu .",entailment
67,"Sentra industri kecil tersebar di seluruh kabupaten / kota , dan beberapa diantara nya telah menembus ekspor ; Industri kerajinan kulit berupa tas dan sepatu di Tanggulangin , Sidoarjo adalah salah satu industri kecil yang sangat terkenal .",Sentra industri kerajinan kulit tersebar di seluruh kabupaten / kota Tanggulangin .,neutral
68,"Sentra industri kecil tersebar di seluruh kabupaten / kota , dan beberapa diantara nya telah menembus ekspor ; Industri kerajinan kulit berupa tas dan sepatu di Tanggulangin , Sidoarjo adalah salah satu industri kecil yang sangat terkenal .","Tidak ada sentra industri di Tanggulangin , Sidoarjo yang menembus ekspor .",contradiction
69,Evaporasi merupakan proses perubahan air yang berwujud cair menjadi gas sehingga air berubah menjadi uap-uap air dan memungkinkanya untuk naik ke atmosfer bumi .,Uap air mungkin naik ke atmosfer bumi .,entailment
70,Evaporasi merupakan proses perubahan air yang berwujud cair menjadi gas sehingga air berubah menjadi uap-uap air dan memungkinkanya untuk naik ke atmosfer bumi .,Evaporasi membutuhkan bantuan panas matahari untuk merubah air menjadi berwujud gas .,neutral
71,Evaporasi merupakan proses perubahan air yang berwujud cair menjadi gas sehingga air berubah menjadi uap-uap air dan memungkinkanya untuk naik ke atmosfer bumi .,Tidak ada air yang berwujud cair .,contradiction
72,"Pada tahun 2008 , akibat meningkatnya harga minyak , industri seperti otomotif mengalami tekanan harga dari ongkos bahan mentah dan mengubah perilaku membeli konsumen .","Pada tahun 2008, harga minyak meningkat",entailment
73,"Pada tahun 2008 , akibat meningkatnya harga minyak , industri seperti otomotif mengalami tekanan harga dari ongkos bahan mentah dan mengubah perilaku membeli konsumen .","Pada tahun 2020, harga minyak menurun",neutral
74,"Pada tahun 2008 , akibat meningkatnya harga minyak , industri seperti otomotif mengalami tekanan harga dari ongkos bahan mentah dan mengubah perilaku membeli konsumen .","Pada tahun 2008, industri otomotif mengalami penurunan tekanan harga",contradiction
75,"Ia kemudian menjadi anggota parlemen , dan pada tahun 1863 ia diangkat sebagai Menteri Jajahan.",Ia menjabat sebagai Menteri Jajahan pada tahun 1863.,entailment
76,"Ia kemudian menjadi anggota parlemen , dan pada tahun 1863 ia diangkat sebagai Menteri Jajahan.",Pengangkatan Menteri Jajahan terjadi pada tahun 1863.,neutral
77,"Ia kemudian menjadi anggota parlemen , dan pada tahun 1863 ia diangkat sebagai Menteri Jajahan.",Jabatannya sebagai Menteri Jajahan terjadi melalui pemilihan umum.,contradiction
78,"MASYARAKAT Indonesia pastinya tak asing lagi mendengar kata buncis . Biasanya buah , biji dan daun buncis sering dimanfaatkan sebagai sayuran .",Masyrakat Indonesia familiar dengan kata buncis.,entailment
79,"MASYARAKAT Indonesia pastinya tak asing lagi mendengar kata buncis . Biasanya buah , biji dan daun buncis sering dimanfaatkan sebagai sayuran .",Masyrakat Indonesia sering menggunakan buncis dalam panganan mereka.,neutral
80,"MASYARAKAT Indonesia pastinya tak asing lagi mendengar kata buncis . Biasanya buah , biji dan daun buncis sering dimanfaatkan sebagai sayuran .",Masyarakat Indonesia jarang yang menggunakan buncis sehingga kata buncis bagi mereka sangatlah asing.,contradiction
81,"Khawatir anak main TikTok tanpa pengawasan? Tenang , kini orangtua bisa langsung terhubung dengan akun yang dimiliki anak lewat fitur 'Family Pairing ' .",TikTok memiliki fitur pengawasan.,Entailment
82,"Khawatir anak main TikTok tanpa pengawasan? Tenang , kini orangtua bisa langsung terhubung dengan akun yang dimiliki anak lewat fitur 'Family Pairing ' .",Orangtua harus memiliki akun TikTok untuk mengakses 'Family Pairing'.,Neutral
83,"Khawatir anak main TikTok tanpa pengawasan? Tenang , kini orangtua bisa langsung terhubung dengan akun yang dimiliki anak lewat fitur 'Family Pairing ' .",Orang tua tidak akan pernah mengetahui kegiatan anaknya saat memainkan TikTok.,Contradiction
84,Destinasi pertama yang bisa anda tuju adalah waduk wadaslintang yang berlokasi di kecatamatan wadaslintang wonosobo.,Destinasi pertama yang bisa anda tuju berlokasi di kecamatan wadaslintang wonosobo .,entailment
85,Destinasi pertama yang bisa anda tuju adalah waduk wadaslintang yang berlokasi di kecatamatan wadaslintang wonosobo.,Destinasi pertama yang bisa anda tuju hanya waduk wadaslintang .,neutral
86,Destinasi pertama yang bisa anda tuju adalah waduk wadaslintang yang berlokasi di kecatamatan wadaslintang wonosobo.,Destinasi pertama yang bisa anda tuju bukan waduk .,contradiction
87,""" Saya berharap , bisa kembali lagi ke sini , "" tutur dia seraya tersenyum .",Dia berharap dapat kembali lagi ke sini.,entailment
88,""" Saya berharap , bisa kembali lagi ke sini , "" tutur dia seraya tersenyum .",Dia tersenyum seraya memikirkan sesuatu.,neutral
89,""" Saya berharap , bisa kembali lagi ke sini , "" tutur dia seraya tersenyum .",Dia berharap dia tidak akan ke sini lagi.,contradiction
90,"Desa Penglipuran di Kecamatan Bangli , Kabupaten Bangli ini sangat sering jadi lokasi syuting FTV .",Desa Penglipuran sering dijadikan lokasi syuting FTV .,entailment
91,"Desa Penglipuran di Kecamatan Bangli , Kabupaten Bangli ini sangat sering jadi lokasi syuting FTV .",Kabupaten Bangli memiliki banyak lokasi syuting .,neutral
92,"Desa Penglipuran di Kecamatan Bangli , Kabupaten Bangli ini sangat sering jadi lokasi syuting FTV .",Kecamatan Bangli tidak ada di Kabupaten Bangli .,contradiction
93,Aplikasi Muslim Go tersedia di platform Android dan iOS .,iOS menyediakan aplikasi Muslim Go.,entailment
94,Aplikasi Muslim Go tersedia di platform Android dan iOS .,Semua ponsel Android berisikan aplikasi Muslim Go.,neutral
95,Aplikasi Muslim Go tersedia di platform Android dan iOS .,iOS tidak menyediakan aplikasi Muslim Go.,contradiction
96,Dengan demikian Pulau Kakaban merupakan satu - satunya pulau di Indonesia yang mempunyai danau di tengahnya .,Kakaban mempunyai danau di tengahnya .,entailment
97,Dengan demikian Pulau Kakaban merupakan satu - satunya pulau di Indonesia yang mempunyai danau di tengahnya .,Kakaban merupakan sebuah pulau di bagian barat Indonesia .,neutral
98,Dengan demikian Pulau Kakaban merupakan satu - satunya pulau di Indonesia yang mempunyai danau di tengahnya .,Kakaban tidak memiliki danau di tengahnya .,contradiction
99,WHO juga berencana merilis Rencana Kesiapsiagaan dan Respons Kedua untuk menangani pandemi secara global pada akhir pekan ini .,"Untuk menangani pandemi secara global , WHO berencana merilis Rencana Kesiapsiagaan dan Respons Kedua .",entailment
100,WHO juga berencana merilis Rencana Kesiapsiagaan dan Respons Kedua untuk menangani pandemi secara global pada akhir pekan ini .,Pandemi global ini akan berakhir pada akhir pekan ini .,neutral
101,WHO juga berencana merilis Rencana Kesiapsiagaan dan Respons Kedua untuk menangani pandemi secara global pada akhir pekan ini .,WHO juga berencana merilis Rencana Kesiapsiagaan dan Respons Kedua untuk menangani pandemi secara global pada akhir tahun ini .,contradiction
102,"Sebelumnya , ia menyebutkan penutupan tidak bersifat permanen . Perseroan berencana melakukan renovasi sehingga perlu untuk menghentikan operasional dalam satu hingga dua bulan ke depan .",Perseroan berencana melakukan renovasi .,entailment
103,"Sebelumnya , ia menyebutkan penutupan tidak bersifat permanen . Perseroan berencana melakukan renovasi sehingga perlu untuk menghentikan operasional dalam satu hingga dua bulan ke depan .","Setelah dua bulan , renovasi akan dihentikan .",neutral
104,"Sebelumnya , ia menyebutkan penutupan tidak bersifat permanen . Perseroan berencana melakukan renovasi sehingga perlu untuk menghentikan operasional dalam satu hingga dua bulan ke depan .",Perseroan berencana melakukan renovasi sehingga tidak perlu menghentikan operasional dalam satu hingga dua bulan ke depan .,contradiction
105,"Dalam satu CD , terdapat 12 lagu penutup yang dinyanyikan oleh Kurosaki dan dirilis Geneon pada 22 September 2010 .",22 September merupakah tanggal yang dipilih oleh Kurosaki untuk merilis 12 lagunya.,entailment
106,"Dalam satu CD , terdapat 12 lagu penutup yang dinyanyikan oleh Kurosaki dan dirilis Geneon pada 22 September 2010 .",Satu CD yang dinyanyikan oleh Kurosaki pada tanggal 22 September 2010 adalah sebuah album.,neutral
107,"Dalam satu CD , terdapat 12 lagu penutup yang dinyanyikan oleh Kurosaki dan dirilis Geneon pada 22 September 2010 .",Geneon baru merilis CD yang dinyanyikan oleh Kurosaki pada tanggal 25 Desember 2010.,contradiction
108,""" Ekosistem pesisir atau vegetasi laut seperti mangrove , rawa air asin , lamun dan makroalga memiliki kemampuan untuk menyerap karbon dioksida atmosfer melalui proses fotosintesis , "" kata Aan dalam keterangan resmi LIPI .",Proses fotosintesis dapat menyerap karbon dioksida .,entailment
109,""" Ekosistem pesisir atau vegetasi laut seperti mangrove , rawa air asin , lamun dan makroalga memiliki kemampuan untuk menyerap karbon dioksida atmosfer melalui proses fotosintesis , "" kata Aan dalam keterangan resmi LIPI .",Ekosistem pesisir sangat dibutuhkan .,neutral
110,""" Ekosistem pesisir atau vegetasi laut seperti mangrove , rawa air asin , lamun dan makroalga memiliki kemampuan untuk menyerap karbon dioksida atmosfer melalui proses fotosintesis , "" kata Aan dalam keterangan resmi LIPI .",Makroalga tidak dapat melakukan fotosintesis .,contradiction
111,'Pengumuman mengenai keluarnya pria 37 tahun itu disampaikan langsung para personel dalam unggahan video di akun Instagram @ada_indonesia .',Terdapat pengumuman mengenai keluarnya pria 37 tahun itu di akun instagram,entailment
112,'Pengumuman mengenai keluarnya pria 37 tahun itu disampaikan langsung para personel dalam unggahan video di akun Instagram @ada_indonesia .',Instagram adalah salah satu media sosial,netral
113,'Pengumuman mengenai keluarnya pria 37 tahun itu disampaikan langsung para personel dalam unggahan video di akun Instagram @ada_indonesia .',Akun instagram @ada_indonesia tidak mengunggah video,contradiction
114,"Tegalsari adalah sebuah desa yang terletak di kecamatan Garung , kabupaten Wonosobo , Jawa Tengah , Indonesia .",Tegalsari berada di kabupaten Wonosobo .,entailment
115,"Tegalsari adalah sebuah desa yang terletak di kecamatan Garung , kabupaten Wonosobo , Jawa Tengah , Indonesia .",Tegalsari merupakan desa yang besar .,neutral
116,"Tegalsari adalah sebuah desa yang terletak di kecamatan Garung , kabupaten Wonosobo , Jawa Tengah , Indonesia .",Tegalsari bukan merupakan sebuah desa .,contradiction
117,Gue sama istri bukan tipe orang yang suka jalan-jalan pas orang liburan .,Gue dan istri memiliki kesamaan dalam hal jalan-jalan,entailment
118,Gue sama istri bukan tipe orang yang suka jalan-jalan pas orang liburan .,Tidak ada orang yang jalan-jalan saat liburan,neutral
119,Gue sama istri bukan tipe orang yang suka jalan-jalan pas orang liburan .,Gue sama istri adalah tipe orang yang berbeda saat liburan,contradiction
120,"Sementara dari pihak pemerintah daerah sendiri , telah membangun gerbang masuk yang berada di Bangun Rejo .",Pemerintah daerah telah membuat gerbang masuk .,entailment
121,"Sementara dari pihak pemerintah daerah sendiri , telah membangun gerbang masuk yang berada di Bangun Rejo .",Pemerintah daerah membuat lebih dari satu gerbang masuk .,neutral
122,"Sementara dari pihak pemerintah daerah sendiri , telah membangun gerbang masuk yang berada di Bangun Rejo .",Pemerintah daerah tidak membuat gerbang masuk .,contradiction
123,"Suara almarhum petinju legendaris , Muhammad Ali , juga ikut dimasukkan . Tak seperti versi lamanya , lagu ini memang hanya memakai instrumen piano .",Suara Muhammad Ali juga ikut dimasukkan ke dalam lagu ini .,entailment
124,"Suara almarhum petinju legendaris , Muhammad Ali , juga ikut dimasukkan . Tak seperti versi lamanya , lagu ini memang hanya memakai instrumen piano .",Suara Muhammad Ali ada pada versi lama lagu ini .,neutral
125,"Suara almarhum petinju legendaris , Muhammad Ali , juga ikut dimasukkan . Tak seperti versi lamanya , lagu ini memang hanya memakai instrumen piano .",Muhammad Ali belum meninggal .,contradiction
126,Dilaporkan sebanyak 5.760 tenaga kesehatan di Italia telah terinfeksi virus corona .,Virus corona menginfeksi 5.760 tenaga kesehatan di Italia.,entailment
127,Dilaporkan sebanyak 5.760 tenaga kesehatan di Italia telah terinfeksi virus corona .,Setengah dari tenaga kesehatan yang terinfeksi virus corona di Italia tinggal di Milan.,neutral
128,Dilaporkan sebanyak 5.760 tenaga kesehatan di Italia telah terinfeksi virus corona .,Hanya 500 tenaga kesehatan yang terinfeksi virus corona di Italia.,contradiction
129,Salah satu kota yang biasanya tak luput jadi singgahan para wisatawan di Sumatera Barat adalah Bukittinggi .,Bukittinggi merupakan sebuah kota .,entailment
130,Salah satu kota yang biasanya tak luput jadi singgahan para wisatawan di Sumatera Barat adalah Bukittinggi .,Wisatawan asing ikut menyinggahi Bukittinggi .,neutral
131,Salah satu kota yang biasanya tak luput jadi singgahan para wisatawan di Sumatera Barat adalah Bukittinggi .,Tidak ada wisatawan yang singgah ke Bukittinggi .,contradiction
132,"Data dari Nielsen Music mencatat , "" Joanne "" telah terjual 201 ribu kopi di akhir minggu ini , seperti dilansir aceshowbiz.com .","Nielsen Music mencatat penjualan ""Joanne""",entailment
133,"Data dari Nielsen Music mencatat , "" Joanne "" telah terjual 201 ribu kopi di akhir minggu ini , seperti dilansir aceshowbiz.com .",Aceshowbiz mencatat pada akhir minggu ini,neutral
134,"Data dari Nielsen Music mencatat , "" Joanne "" telah terjual 201 ribu kopi di akhir minggu ini , seperti dilansir aceshowbiz.com .","Nielsen Music tidak memiliki data tentang ""Joanne""",contradiction
135,"Jakarta , CNN Indonesia - - Tampil sebagai cameo di film Ocean 's 8 , Matt Damon justru memunculkan petisi daring .",Petisi daring muncul karena kemunculan Matt Damon.,Entailment
136,"Jakarta , CNN Indonesia - - Tampil sebagai cameo di film Ocean 's 8 , Matt Damon justru memunculkan petisi daring .",George Clooney tampil sebagai cameo di Ocean's 8.,Neutral
137,"Jakarta , CNN Indonesia - - Tampil sebagai cameo di film Ocean 's 8 , Matt Damon justru memunculkan petisi daring .",Matt Damon tampil di film Ocean's 8 sebagai pemeran utama.,Contradiction
138,"Seperti diberitakan Ace Showbiz , Joo Hyuk meninggal dunia pada Senin ( 30 / 10 ) dalam sebuah kecelakaan mobil yang tragis . Namun , saat ini , polisi masih mendalami penyebab pasti kematiannya . Dikabarkan itu karena Joo Hyuk mengonsumsi obat tertentu .",Joo Hyuk telah meninggal dunia ,entailment
